Rule_Number,ICD_10_Code,Category,Code_Description
Rule 2B,S75229A,Open wounds,"Major laceration of greater saphenous vein at hip and thigh level, unspecified leg, initial encounter"
Rule 2B,S75811A,Open wounds,"Laceration of other blood vessels at hip and thigh level, right leg, initial encounter"
Rule 2B,S75812A,Open wounds,"Laceration of other blood vessels at hip and thigh level, left leg, initial encounter"
Rule 2B,S75819A,Open wounds,"Laceration of other blood vessels at hip and thigh level, unspecified leg, initial encounter"
Rule 2B,S75911A,Open wounds,"Laceration of unspecified blood vessel at hip and thigh level, right leg, initial encounter"
Rule 2B,S75912A,Open wounds,"Laceration of unspecified blood vessel at hip and thigh level, left leg, initial encounter"
Rule 2B,S75919A,Open wounds,"Laceration of unspecified blood vessel at hip and thigh level, unspecified leg, initial encounter"
Rule 2B,S76021A,Open wounds,"Laceration of muscle, fascia and tendon of right hip, initial encounter"
Rule 2B,S76022A,Open wounds,"Laceration of muscle, fascia and tendon of left hip, initial encounter"
Rule 2B,S76029A,Open wounds,"Laceration of muscle, fascia and tendon of unspecified hip, initial encounter"
Rule 2B,S76121A,Open wounds,"Laceration of right quadriceps muscle, fascia and tendon, initial encounter"
Rule 2B,S76122A,Open wounds,"Laceration of left quadriceps muscle, fascia and tendon, initial encounter"
Rule 2B,S76129A,Open wounds,"Laceration of unspecified quadriceps muscle, fascia and tendon, initial encounter"
Rule 2B,S76221A,Open wounds,"Laceration of adductor muscle, fascia and tendon of right thigh, initial encounter"
Rule 2B,S76222A,Open wounds,"Laceration of adductor muscle, fascia and tendon of left thigh, initial encounter"
Rule 2B,S76229A,Open wounds,"Laceration of adductor muscle, fascia and tendon of unspecified thigh, initial encounter"
Rule 2B,S76321A,Open wounds,"Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh, initial encounter"
Rule 2B,S76322A,Open wounds,"Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh, initial encounter"
Rule 2B,S76329A,Open wounds,"Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh, initial encounter"
Rule 2B,S76821A,Open wounds,"Laceration of other specified muscles, fascia and tendons at thigh level, right thigh, initial encounter"
Rule 2B,S76822A,Open wounds,"Laceration of other specified muscles, fascia and tendons at thigh level, left thigh, initial encounter"
Rule 2B,S76829A,Open wounds,"Laceration of other specified muscles, fascia and tendons at thigh level, unspecified thigh, initial encounter"
Rule 2B,S76921A,Open wounds,"Laceration of unspecified muscles, fascia and tendons at thigh level, right thigh, initial encounter"
Rule 2B,S76922A,Open wounds,"Laceration of unspecified muscles, fascia and tendons at thigh level, left thigh, initial encounter"
Rule 2B,S76929A,Open wounds,"Laceration of unspecified muscles, fascia and tendons at thigh level, unspecified thigh, initial encounter"
Rule 2B,S8000XA,Open wounds,"Contusion of unspecified knee, initial encounter"
Rule 2B,S8001XA,Open wounds,"Contusion of right knee, initial encounter"
Rule 2B,S8002XA,Open wounds,"Contusion of left knee, initial encounter"
Rule 2B,S8010XA,Open wounds,"Contusion of unspecified lower leg, initial encounter"
Rule 2B,S8011XA,Open wounds,"Contusion of right lower leg, initial encounter"
Rule 2B,S8012XA,Open wounds,"Contusion of left lower leg, initial encounter"
Rule 2B,S80211A,Open wounds,"Abrasion, right knee, initial encounter"
Rule 2B,S80212A,Open wounds,"Abrasion, left knee, initial encounter"
Rule 2B,S80219A,Open wounds,"Abrasion, unspecified knee, initial encounter"
Rule 2B,S80251A,Open wounds,"Superficial foreign body, right knee, initial encounter"
Rule 2B,S80252A,Open wounds,"Superficial foreign body, left knee, initial encounter"
Rule 2B,S80259A,Open wounds,"Superficial foreign body, unspecified knee, initial encounter"
Rule 2B,S80811A,Open wounds,"Abrasion, right lower leg, initial encounter"
Rule 2B,S80812A,Open wounds,"Abrasion, left lower leg, initial encounter"
Rule 2B,S80819A,Open wounds,"Abrasion, unspecified lower leg, initial encounter"
Rule 2B,S80851A,Open wounds,"Superficial foreign body, right lower leg, initial encounter"
Rule 2B,S80852A,Open wounds,"Superficial foreign body, left lower leg, initial encounter"
Rule 2B,S80859A,Open wounds,"Superficial foreign body, unspecified lower leg, initial encounter"
Rule 2B,S80911A,Open wounds,"Unspecified superficial injury of right knee, initial encounter"
Rule 2B,S80912A,Open wounds,"Unspecified superficial injury of left knee, initial encounter"
Rule 2B,S80919A,Open wounds,"Unspecified superficial injury of unspecified knee, initial encounter"
Rule 2B,S80921A,Open wounds,"Unspecified superficial injury of right lower leg, initial encounter"
Rule 2B,S80922A,Open wounds,"Unspecified superficial injury of left lower leg, initial encounter"
Rule 2B,S80929A,Open wounds,"Unspecified superficial injury of unspecified lower leg, initial encounter"
Rule 2B,S81001A,Open wounds,"Unspecified open wound, right knee, initial encounter"
Rule 2B,S81002A,Open wounds,"Unspecified open wound, left knee, initial encounter"
Rule 2B,S81009A,Open wounds,"Unspecified open wound, unspecified knee, initial encounter"
Rule 2B,S81011A,Open wounds,"Laceration without foreign body, right knee, initial encounter"
Rule 2B,S81012A,Open wounds,"Laceration without foreign body, left knee, initial encounter"
Rule 2B,S81019A,Open wounds,"Laceration without foreign body, unspecified knee, initial encounter"
Rule 2B,S81021A,Open wounds,"Laceration with foreign body, right knee, initial encounter"
Rule 2B,S81022A,Open wounds,"Laceration with foreign body, left knee, initial encounter"
Rule 2B,S81029A,Open wounds,"Laceration with foreign body, unspecified knee, initial encounter"
Rule 2B,S81031A,Open wounds,"Puncture wound without foreign body, right knee, initial encounter"
Rule 2B,S81032A,Open wounds,"Puncture wound without foreign body, left knee, initial encounter"
Rule 2B,S81039A,Open wounds,"Puncture wound without foreign body, unspecified knee, initial encounter"
Rule 2B,S81041A,Open wounds,"Puncture wound with foreign body, right knee, initial encounter"
Rule 2B,S81042A,Open wounds,"Puncture wound with foreign body, left knee, initial encounter"
Rule 2B,S81049A,Open wounds,"Puncture wound with foreign body, unspecified knee, initial encounter"
Rule 2B,S81801A,Open wounds,"Unspecified open wound, right lower leg, initial encounter"
Rule 2B,S81802A,Open wounds,"Unspecified open wound, left lower leg, initial encounter"
Rule 2B,S81809A,Open wounds,"Unspecified open wound, unspecified lower leg, initial encounter"
Rule 2B,S81811A,Open wounds,"Laceration without foreign body, right lower leg, initial encounter"
Rule 2B,S81812A,Open wounds,"Laceration without foreign body, left lower leg, initial encounter"
Rule 2B,S81819A,Open wounds,"Laceration without foreign body, unspecified lower leg, initial encounter"
Rule 2B,S81821A,Open wounds,"Laceration with foreign body, right lower leg, initial encounter"
Rule 2B,S81822A,Open wounds,"Laceration with foreign body, left lower leg, initial encounter"
Rule 2B,S81829A,Open wounds,"Laceration with foreign body, unspecified lower leg, initial encounter"
Rule 2B,S81831A,Open wounds,"Puncture wound without foreign body, right lower leg, initial encounter"
Rule 2B,S81832A,Open wounds,"Puncture wound without foreign body, left lower leg, initial encounter"
Rule 2B,S81839A,Open wounds,"Puncture wound without foreign body, unspecified lower leg, initial encounter"
Rule 2B,S81841A,Open wounds,"Puncture wound with foreign body, right lower leg, initial encounter"
Rule 2B,S81842A,Open wounds,"Puncture wound with foreign body, left lower leg, initial encounter"
Rule 2B,S81849A,Open wounds,"Puncture wound with foreign body, unspecified lower leg, initial encounter"
Rule 2B,S85011A,Open wounds,"Laceration of popliteal artery, right leg, initial encounter"
Rule 2B,S85012A,Open wounds,"Laceration of popliteal artery, left leg, initial encounter"
Rule 2B,S85019A,Open wounds,"Laceration of popliteal artery, unspecified leg, initial encounter"
Rule 2B,S85111A,Open wounds,"Laceration of unspecified tibial artery, right leg, initial encounter"
Rule 2B,S85112A,Open wounds,"Laceration of unspecified tibial artery, left leg, initial encounter"
Rule 2B,S85119A,Open wounds,"Laceration of unspecified tibial artery, unspecified leg, initial encounter"
Rule 2B,S85141A,Open wounds,"Laceration of anterior tibial artery, right leg, initial encounter"
Rule 2B,S85142A,Open wounds,"Laceration of anterior tibial artery, left leg, initial encounter"
Rule 2B,S85149A,Open wounds,"Laceration of anterior tibial artery, unspecified leg, initial encounter"
Rule 2B,S85171A,Open wounds,"Laceration of posterior tibial artery, right leg, initial encounter"
Rule 2B,S85172A,Open wounds,"Laceration of posterior tibial artery, left leg, initial encounter"
Rule 2B,S85179A,Open wounds,"Laceration of posterior tibial artery, unspecified leg, initial encounter"
Rule 2B,S85211A,Open wounds,"Laceration of peroneal artery, right leg, initial encounter"
Rule 2B,S85212A,Open wounds,"Laceration of peroneal artery, left leg, initial encounter"
Rule 2B,S85219A,Open wounds,"Laceration of peroneal artery, unspecified leg, initial encounter"
Rule 2B,S85311A,Open wounds,"Laceration of greater saphenous vein at lower leg level, right leg, initial encounter"
Rule 2B,S85312A,Open wounds,"Laceration of greater saphenous vein at lower leg level, left leg, initial encounter"
Rule 2B,S85319A,Open wounds,"Laceration of greater saphenous vein at lower leg level, unspecified leg, initial encounter"
Rule 2B,S85411A,Open wounds,"Laceration of lesser saphenous vein at lower leg level, right leg, initial encounter"
Rule 2B,S85412A,Open wounds,"Laceration of lesser saphenous vein at lower leg level, left leg, initial encounter"
Rule 2B,S85419A,Open wounds,"Laceration of lesser saphenous vein at lower leg level, unspecified leg, initial encounter"
Rule 2B,S85511A,Open wounds,"Laceration of popliteal vein, right leg, initial encounter"
Rule 2B,S85512A,Open wounds,"Laceration of popliteal vein, left leg, initial encounter"
Rule 2B,S85519A,Open wounds,"Laceration of popliteal vein, unspecified leg, initial encounter"
Rule 2B,S85811A,Open wounds,"Laceration of other blood vessels at lower leg level, right leg, initial encounter"
Rule 2B,S85812A,Open wounds,"Laceration of other blood vessels at lower leg level, left leg, initial encounter"
Rule 2B,S85819A,Open wounds,"Laceration of other blood vessels at lower leg level, unspecified leg, initial encounter"
Rule 2B,S85911A,Open wounds,"Laceration of unspecified blood vessel at lower leg level, right leg, initial encounter"
Rule 2B,S85912A,Open wounds,"Laceration of unspecified blood vessel at lower leg level, left leg, initial encounter"
Rule 2B,S85919A,Open wounds,"Laceration of unspecified blood vessel at lower leg level, unspecified leg, initial encounter"
Rule 2B,S86021A,Open wounds,"Laceration of right Achilles tendon, initial encounter"
Rule 2B,S86022A,Open wounds,"Laceration of left Achilles tendon, initial encounter"
Rule 2B,S86029A,Open wounds,"Laceration of unspecified Achilles tendon, initial encounter"
Rule 2B,S86121A,Open wounds,"Laceration of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, right leg, initial encounter"
Rule 2B,S86122A,Open wounds,"Laceration of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, left leg, initial encounter"
Rule 2B,S86129A,Open wounds,"Laceration of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, unspecified leg, initial encounter"
Rule 2B,S86221A,Open wounds,"Laceration of muscle(s) and tendon(s) of anterior muscle group at lower leg level, right leg, initial encounter"
Rule 2B,S86222A,Open wounds,"Laceration of muscle(s) and tendon(s) of anterior muscle group at lower leg level, left leg, initial encounter"
Rule 2B,S86229A,Open wounds,"Laceration of muscle(s) and tendon(s) of anterior muscle group at lower leg level, unspecified leg, initial encounter"
Rule 2B,S86321A,Open wounds,"Laceration of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, right leg, initial encounter"
Rule 2B,S86322A,Open wounds,"Laceration of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, left leg, initial encounter"
Rule 2B,S86329A,Open wounds,"Laceration of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, unspecified leg, initial encounter"
Rule 2B,S86821A,Open wounds,"Laceration of other muscle(s) and tendon(s) at lower leg level, right leg, initial encounter"
Rule 2B,S86822A,Open wounds,"Laceration of other muscle(s) and tendon(s) at lower leg level, left leg, initial encounter"
Rule 2B,S86829A,Open wounds,"Laceration of other muscle(s) and tendon(s) at lower leg level, unspecified leg, initial encounter"
Rule 2B,S86921A,Open wounds,"Laceration of unspecified muscle(s) and tendon(s) at lower leg level, right leg, initial encounter"
Rule 2B,S86922A,Open wounds,"Laceration of unspecified muscle(s) and tendon(s) at lower leg level, left leg, initial encounter"
Rule 2B,S86929A,Open wounds,"Laceration of unspecified muscle(s) and tendon(s) at lower leg level, unspecified leg, initial encounter"
Rule 2B,S9000XA,Open wounds,"Contusion of unspecified ankle, initial encounter"
Rule 2B,S9001XA,Open wounds,"Contusion of right ankle, initial encounter"
Rule 2B,S9002XA,Open wounds,"Contusion of left ankle, initial encounter"
Rule 2B,S90111A,Open wounds,"Contusion of right great toe without damage to nail, initial encounter"
Rule 2B,S90112A,Open wounds,"Contusion of left great toe without damage to nail, initial encounter"
Rule 2B,S90119A,Open wounds,"Contusion of unspecified great toe without damage to nail, initial encounter"
Rule 2B,S90121A,Open wounds,"Contusion of right lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S90122A,Open wounds,"Contusion of left lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S90129A,Open wounds,"Contusion of unspecified lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S90211A,Open wounds,"Contusion of right great toe with damage to nail, initial encounter"
Rule 2B,S90212A,Open wounds,"Contusion of left great toe with damage to nail, initial encounter"
Rule 2B,S90219A,Open wounds,"Contusion of unspecified great toe with damage to nail, initial encounter"
Rule 2B,S90221A,Open wounds,"Contusion of right lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S90222A,Open wounds,"Contusion of left lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S90229A,Open wounds,"Contusion of unspecified lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S9030XA,Open wounds,"Contusion of unspecified foot, initial encounter"
Rule 2B,S9031XA,Open wounds,"Contusion of right foot, initial encounter"
Rule 2B,S9032XA,Open wounds,"Contusion of left foot, initial encounter"
Rule 2B,S90411A,Open wounds,"Abrasion, right great toe, initial encounter"
Rule 2B,S90412A,Open wounds,"Abrasion, left great toe, initial encounter"
Rule 2B,S90413A,Open wounds,"Abrasion, unspecified great toe, initial encounter"
Rule 2B,S90414A,Open wounds,"Abrasion, right lesser toe(s), initial encounter"
Rule 2B,S90415A,Open wounds,"Abrasion, left lesser toe(s), initial encounter"
Rule 2B,S90416A,Open wounds,"Abrasion, unspecified lesser toe(s), initial encounter"
Rule 2B,S90451A,Open wounds,"Superficial foreign body, right great toe, initial encounter"
Rule 2B,S90452A,Open wounds,"Superficial foreign body, left great toe, initial encounter"
Rule 2B,S90453A,Open wounds,"Superficial foreign body, unspecified great toe, initial encounter"
Rule 2B,S90454A,Open wounds,"Superficial foreign body, right lesser toe(s), initial encounter"
Rule 2B,S90455A,Open wounds,"Superficial foreign body, left lesser toe(s), initial encounter"
Rule 2B,S90456A,Open wounds,"Superficial foreign body, unspecified lesser toe(s), initial encounter"
Rule 2B,S90511A,Open wounds,"Abrasion, right ankle, initial encounter"
Rule 2B,S90512A,Open wounds,"Abrasion, left ankle, initial encounter"
Rule 2B,S90519A,Open wounds,"Abrasion, unspecified ankle, initial encounter"
Rule 2B,S90551A,Open wounds,"Superficial foreign body, right ankle, initial encounter"
Rule 2B,S90552A,Open wounds,"Superficial foreign body, left ankle, initial encounter"
Rule 2B,S90559A,Open wounds,"Superficial foreign body, unspecified ankle, initial encounter"
Rule 2B,S90811A,Open wounds,"Abrasion, right foot, initial encounter"
Rule 2B,S90812A,Open wounds,"Abrasion, left foot, initial encounter"
Rule 2B,S90819A,Open wounds,"Abrasion, unspecified foot, initial encounter"
Rule 2B,S90851A,Open wounds,"Superficial foreign body, right foot, initial encounter"
Rule 2B,S90852A,Open wounds,"Superficial foreign body, left foot, initial encounter"
Rule 2B,S90859A,Open wounds,"Superficial foreign body, unspecified foot, initial encounter"
Rule 2B,S90911A,Open wounds,"Unspecified superficial injury of right ankle, initial encounter"
Rule 2B,S90912A,Open wounds,"Unspecified superficial injury of left ankle, initial encounter"
Rule 2B,S90919A,Open wounds,"Unspecified superficial injury of unspecified ankle, initial encounter"
Rule 2B,S90921A,Open wounds,"Unspecified superficial injury of right foot, initial encounter"
Rule 2B,S90922A,Open wounds,"Unspecified superficial injury of left foot, initial encounter"
Rule 2B,S90929A,Open wounds,"Unspecified superficial injury of unspecified foot, initial encounter"
Rule 2B,S90931A,Open wounds,"Unspecified superficial injury of right great toe, initial encounter"
Rule 2B,S90932A,Open wounds,"Unspecified superficial injury of left great toe, initial encounter"
Rule 2B,S90933A,Open wounds,"Unspecified superficial injury of unspecified great toe, initial encounter"
Rule 2B,S90934A,Open wounds,"Unspecified superficial injury of right lesser toe(s), initial encounter"
Rule 2B,S90935A,Open wounds,"Unspecified superficial injury of left lesser toe(s), initial encounter"
Rule 2B,S90936A,Open wounds,"Unspecified superficial injury of unspecified lesser toe(s), initial encounter"
Rule 2B,S91001A,Open wounds,"Unspecified open wound, right ankle, initial encounter"
Rule 2B,S91002A,Open wounds,"Unspecified open wound, left ankle, initial encounter"
Rule 2B,S91009A,Open wounds,"Unspecified open wound, unspecified ankle, initial encounter"
Rule 2B,S91011A,Open wounds,"Laceration without foreign body, right ankle, initial encounter"
Rule 2B,S91012A,Open wounds,"Laceration without foreign body, left ankle, initial encounter"
Rule 2B,S91019A,Open wounds,"Laceration without foreign body, unspecified ankle, initial encounter"
Rule 2B,S91021A,Open wounds,"Laceration with foreign body, right ankle, initial encounter"
Rule 2B,S91022A,Open wounds,"Laceration with foreign body, left ankle, initial encounter"
Rule 2B,S91029A,Open wounds,"Laceration with foreign body, unspecified ankle, initial encounter"
Rule 2B,S91031A,Open wounds,"Puncture wound without foreign body, right ankle, initial encounter"
Rule 2B,S91032A,Open wounds,"Puncture wound without foreign body, left ankle, initial encounter"
Rule 2B,S91039A,Open wounds,"Puncture wound without foreign body, unspecified ankle, initial encounter"
Rule 2B,S91041A,Open wounds,"Puncture wound with foreign body, right ankle, initial encounter"
Rule 2B,S91042A,Open wounds,"Puncture wound with foreign body, left ankle, initial encounter"
Rule 2B,S91049A,Open wounds,"Puncture wound with foreign body, unspecified ankle, initial encounter"
Rule 2B,S91101A,Open wounds,"Unspecified open wound of right great toe without damage to nail, initial encounter"
Rule 2B,S91102A,Open wounds,"Unspecified open wound of left great toe without damage to nail, initial encounter"
Rule 2B,S91103A,Open wounds,"Unspecified open wound of unspecified great toe without damage to nail, initial encounter"
Rule 2B,S91104A,Open wounds,"Unspecified open wound of right lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91105A,Open wounds,"Unspecified open wound of left lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91106A,Open wounds,"Unspecified open wound of unspecified lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91109A,Open wounds,"Unspecified open wound of unspecified toe(s) without damage to nail, initial encounter"
Rule 2B,S91111A,Open wounds,"Laceration without foreign body of right great toe without damage to nail, initial encounter"
Rule 2B,S91112A,Open wounds,"Laceration without foreign body of left great toe without damage to nail, initial encounter"
Rule 2B,S91113A,Open wounds,"Laceration without foreign body of unspecified great toe without damage to nail, initial encounter"
Rule 2B,S91114A,Open wounds,"Laceration without foreign body of right lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91115A,Open wounds,"Laceration without foreign body of left lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91116A,Open wounds,"Laceration without foreign body of unspecified lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91119A,Open wounds,"Laceration without foreign body of unspecified toe without damage to nail, initial encounter"
Rule 2B,S91121A,Open wounds,"Laceration with foreign body of right great toe without damage to nail, initial encounter"
Rule 2B,S91122A,Open wounds,"Laceration with foreign body of left great toe without damage to nail, initial encounter"
Rule 2B,S91123A,Open wounds,"Laceration with foreign body of unspecified great toe without damage to nail, initial encounter"
Rule 2B,S91124A,Open wounds,"Laceration with foreign body of right lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91125A,Open wounds,"Laceration with foreign body of left lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91126A,Open wounds,"Laceration with foreign body of unspecified lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91129A,Open wounds,"Laceration with foreign body of unspecified toe(s) without damage to nail, initial encounter"
Rule 2B,S91131A,Open wounds,"Puncture wound without foreign body of right great toe without damage to nail, initial encounter"
Rule 2B,S91132A,Open wounds,"Puncture wound without foreign body of left great toe without damage to nail, initial encounter"
Rule 2B,S91133A,Open wounds,"Puncture wound without foreign body of unspecified great toe without damage to nail, initial encounter"
Rule 2B,S91134A,Open wounds,"Puncture wound without foreign body of right lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91135A,Open wounds,"Puncture wound without foreign body of left lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91136A,Open wounds,"Puncture wound without foreign body of unspecified lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91139A,Open wounds,"Puncture wound without foreign body of unspecified toe(s) without damage to nail, initial encounter"
Rule 2B,S91141A,Open wounds,"Puncture wound with foreign body of right great toe without damage to nail, initial encounter"
Rule 2B,S91142A,Open wounds,"Puncture wound with foreign body of left great toe without damage to nail, initial encounter"
Rule 2B,S91143A,Open wounds,"Puncture wound with foreign body of unspecified great toe without damage to nail, initial encounter"
Rule 2B,S91144A,Open wounds,"Puncture wound with foreign body of right lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91145A,Open wounds,"Puncture wound with foreign body of left lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91146A,Open wounds,"Puncture wound with foreign body of unspecified lesser toe(s) without damage to nail, initial encounter"
Rule 2B,S91149A,Open wounds,"Puncture wound with foreign body of unspecified toe(s) without damage to nail, initial encounter"
Rule 2B,S91201A,Open wounds,"Unspecified open wound of right great toe with damage to nail, initial encounter"
Rule 2B,S91202A,Open wounds,"Unspecified open wound of left great toe with damage to nail, initial encounter"
Rule 2B,S91203A,Open wounds,"Unspecified open wound of unspecified great toe with damage to nail, initial encounter"
Rule 2B,S91204A,Open wounds,"Unspecified open wound of right lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91205A,Open wounds,"Unspecified open wound of left lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91206A,Open wounds,"Unspecified open wound of unspecified lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91209A,Open wounds,"Unspecified open wound of unspecified toe(s) with damage to nail, initial encounter"
Rule 2B,S91211A,Open wounds,"Laceration without foreign body of right great toe with damage to nail, initial encounter"
Rule 2B,S91212A,Open wounds,"Laceration without foreign body of left great toe with damage to nail, initial encounter"
Rule 2B,S91213A,Open wounds,"Laceration without foreign body of unspecified great toe with damage to nail, initial encounter"
Rule 2B,S91214A,Open wounds,"Laceration without foreign body of right lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91215A,Open wounds,"Laceration without foreign body of left lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91216A,Open wounds,"Laceration without foreign body of unspecified lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91219A,Open wounds,"Laceration without foreign body of unspecified toe(s) with damage to nail, initial encounter"
Rule 2B,S91221A,Open wounds,"Laceration with foreign body of right great toe with damage to nail, initial encounter"
Rule 2B,S91222A,Open wounds,"Laceration with foreign body of left great toe with damage to nail, initial encounter"
Rule 2B,S91223A,Open wounds,"Laceration with foreign body of unspecified great toe with damage to nail, initial encounter"
Rule 2B,S91224A,Open wounds,"Laceration with foreign body of right lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91225A,Open wounds,"Laceration with foreign body of left lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91226A,Open wounds,"Laceration with foreign body of unspecified lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91229A,Open wounds,"Laceration with foreign body of unspecified toe(s) with damage to nail, initial encounter"
Rule 2B,S91231A,Open wounds,"Puncture wound without foreign body of right great toe with damage to nail, initial encounter"
Rule 2B,S91232A,Open wounds,"Puncture wound without foreign body of left great toe with damage to nail, initial encounter"
Rule 2B,S91233A,Open wounds,"Puncture wound without foreign body of unspecified great toe with damage to nail, initial encounter"
Rule 2B,S91234A,Open wounds,"Puncture wound without foreign body of right lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91235A,Open wounds,"Puncture wound without foreign body of left lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91236A,Open wounds,"Puncture wound without foreign body of unspecified lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91239A,Open wounds,"Puncture wound without foreign body of unspecified toe(s) with damage to nail, initial encounter"
Rule 2B,S91241A,Open wounds,"Puncture wound with foreign body of right great toe with damage to nail, initial encounter"
Rule 2B,S91242A,Open wounds,"Puncture wound with foreign body of left great toe with damage to nail, initial encounter"
Rule 2B,S91243A,Open wounds,"Puncture wound with foreign body of unspecified great toe with damage to nail, initial encounter"
Rule 2B,S91244A,Open wounds,"Puncture wound with foreign body of right lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91245A,Open wounds,"Puncture wound with foreign body of left lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91246A,Open wounds,"Puncture wound with foreign body of unspecified lesser toe(s) with damage to nail, initial encounter"
Rule 2B,S91249A,Open wounds,"Puncture wound with foreign body of unspecified toe(s) with damage to nail, initial encounter"
Rule 2B,S91301A,Open wounds,"Unspecified open wound, right foot, initial encounter"
Rule 2B,S91302A,Open wounds,"Unspecified open wound, left foot, initial encounter"
Rule 2B,S91309A,Open wounds,"Unspecified open wound, unspecified foot, initial encounter"
Rule 2B,S91311A,Open wounds,"Laceration without foreign body, right foot, initial encounter"
Rule 2B,S91312A,Open wounds,"Laceration without foreign body, left foot, initial encounter"
Rule 2B,S91319A,Open wounds,"Laceration without foreign body, unspecified foot, initial encounter"
Rule 2B,S91321A,Open wounds,"Laceration with foreign body, right foot, initial encounter"
Rule 2B,S91322A,Open wounds,"Laceration with foreign body, left foot, initial encounter"
Rule 2B,S91329A,Open wounds,"Laceration with foreign body, unspecified foot, initial encounter"
Rule 2B,S91331A,Open wounds,"Puncture wound without foreign body, right foot, initial encounter"
Rule 2B,S91332A,Open wounds,"Puncture wound without foreign body, left foot, initial encounter"
Rule 2B,S91339A,Open wounds,"Puncture wound without foreign body, unspecified foot, initial encounter"
Rule 2B,S91341A,Open wounds,"Puncture wound with foreign body, right foot, initial encounter"
Rule 2B,S91342A,Open wounds,"Puncture wound with foreign body, left foot, initial encounter"
Rule 2B,S91349A,Open wounds,"Puncture wound with foreign body, unspecified foot, initial encounter"
Rule 2B,S95011A,Open wounds,"Laceration of dorsal artery of right foot, initial encounter"
Rule 2B,S95012A,Open wounds,"Laceration of dorsal artery of left foot, initial encounter"
Rule 2B,S95019A,Open wounds,"Laceration of dorsal artery of unspecified foot, initial encounter"
Rule 2B,S95111A,Open wounds,"Laceration of plantar artery of right foot, initial encounter"
Rule 2B,S95112A,Open wounds,"Laceration of plantar artery of left foot, initial encounter"
Rule 2B,S95119A,Open wounds,"Laceration of plantar artery of unspecified foot, initial encounter"
Rule 2B,S95211A,Open wounds,"Laceration of dorsal vein of right foot, initial encounter"
Rule 2B,S95212A,Open wounds,"Laceration of dorsal vein of left foot, initial encounter"
Rule 2B,S95219A,Open wounds,"Laceration of dorsal vein of unspecified foot, initial encounter"
Rule 2B,S95811A,Open wounds,"Laceration of other blood vessels at ankle and foot level, right leg, initial encounter"
Rule 2B,S95812A,Open wounds,"Laceration of other blood vessels at ankle and foot level, left leg, initial encounter"
Rule 2B,S95819A,Open wounds,"Laceration of other blood vessels at ankle and foot level, unspecified leg, initial encounter"
Rule 2B,S95911A,Open wounds,"Laceration of unspecified blood vessel at ankle and foot level, right leg, initial encounter"
Rule 2B,S95912A,Open wounds,"Laceration of unspecified blood vessel at ankle and foot level, left leg, initial encounter"
Rule 2B,S95919A,Open wounds,"Laceration of unspecified blood vessel at ankle and foot level, unspecified leg, initial encounter"
Rule 2B,S96021A,Open wounds,"Laceration of muscle and tendon of long flexor muscle of toe at ankle and foot level, right foot, initial encounter"
